Date,BTC-USD_ret,ETH-USD_ret,SPY_ret,btc_roll_vol
2020-01-30,0.02064730312029206,0.05507065446349446,0.003244945117841347,0.02445539661238613
2020-01-31,-0.016664631518128026,-0.024529169377575544,-0.01815776724386986,0.025830170514149372
2020-02-01,0.00452869583961979,0.019503637552609865,0.0,0.0253599158380809
2020-02-02,-0.0051645279666768795,0.026915021164291897,0.0,0.021889492333661685
2020-02-03,-0.005441113304621492,0.006614061907548319,0.007428637481087241,0.022432134018221774
2020-02-04,-0.012111511652417528,-0.00323635857181348,0.015241406878922614,0.02272488594204371
2020-02-05,0.047104093835473426,0.07915243155799545,0.011547916233813238,0.02517045205874219
2020-02-06,0.012105773319493585,0.039704408845708805,0.0033647721227283434,0.02362629172176154
2020-02-07,0.006797836503646293,0.04891694034731886,-0.0053293919985348825,0.01866444285932096
2020-02-08,0.007061676319697785,0.0018877716176568526,0.0,0.01838606934912673
2020-02-09,0.02549940694219166,0.024342986557149393,0.0,0.018876380884719907
2020-02-10,-0.025706324471686526,-0.02211870728715548,0.007464981784840674,0.02026767899585243
2020-02-11,0.03567402510806805,0.055155431331365135,0.0017332616481979812,0.02238939519526478
2020-02-12,0.011541499979814906,0.12531177329455678,0.006442876126366848,0.021866894942995665
2020-02-13,-0.010814856987217514,0.010147147902660691,-0.0010672337586359326,0.022355974989224203
2020-02-14,0.009568503349817403,0.060120481598565645,0.001602117636396283,0.02101513233953233
2020-02-15,-0.0409897830477971,-0.06857045116097638,0.0,0.02298236883245012
2020-02-16,0.004551203932625647,-0.018259692118138604,0.0,0.022775723322342612
2020-02-17,-0.024590331529186438,0.02488976929932618,0.0,0.0242076430258676
2020-02-18,0.0466302236506857,0.05849581534422277,-0.002576814882126355,0.02849359606488868
2020-02-19,-0.05014884351152826,-0.07867008126631714,0.004780986182433278,0.031752350595504755
2020-02-20,-0.0025859164113087862,-0.006985241682689214,-0.004108155385236234,0.030860075654844433
2020-02-21,0.008114275736580634,0.029661444062387243,-0.010297973082970757,0.02822861712692401
2020-02-22,-0.002401270461409255,-0.012307540639357906,0.0,0.02766655349116795
2020-02-23,0.02704430011708836,0.04354190965516169,0.0,0.02950432643934985
2020-02-24,-0.027642741538078885,-0.031187544424001845,-0.03316576269863336,0.03015519140249967
2020-02-25,-0.031965195740564556,-0.06560239946277657,-0.03030172893211558,0.02911552886250768
2020-02-26,-0.05579095174048332,-0.08932912521133263,-0.0036786005323600213,0.032859410022749155
2020-02-27,-0.0040846016176541156,0.0047550462867866905,-0.044911765822010286,0.03257884085918199
2020-02-28,-0.012754184897438958,3.135827774425337e-05,-0.004201299419510196,0.026003266939842885
2020-02-29,-0.008411261679117432,-0.030481443479889903,0.0,0.022943862788974888
2020-03-01,-0.0043089307085921735,-0.003993269846346403,0.0,0.02287963607039972
2020-03-02,0.03587941221856461,0.05297141408109862,0.04330656416284584,0.02683023372751522
