Date,BTC-USD,ETH-USD,SPY
2022-04-06,43206.73828125,3171.69189453125,424.93603515625
2022-04-07,43503.84765625,3233.274658203125,427.0772399902344
2022-04-08,42287.6640625,3192.073974609375,425.9352111816406
2022-04-09,42782.13671875,3261.916259765625,
2022-04-10,42207.671875,3211.866943359375,
2022-04-11,39521.90234375,2981.05224609375,418.6551208496094
2022-04-12,40127.18359375,3030.37646484375,417.1038513183594
2022-04-13,41166.73046875,3118.34423828125,421.8811950683594
2022-04-14,39935.515625,3019.909423828125,416.6280212402344
2022-04-15,40553.46484375,3040.91650390625,
2022-04-16,40424.484375,3062.310302734375,
2022-04-17,39716.953125,2993.4033203125,
2022-04-18,40826.21484375,3057.606689453125,416.7993469238281
2022-04-19,41502.75,3104.1064453125,423.527587890625
2022-04-20,41374.37890625,3077.745849609375,423.2135009765625
2022-04-21,40527.36328125,2987.480712890625,416.885009765625
2022-04-22,39740.3203125,2964.835693359375,405.4460144042969
2022-04-23,39486.73046875,2938.114013671875,
2022-04-24,39469.29296875,2922.732666015625,
2022-04-25,40458.30859375,3009.3935546875,407.79656982421875
2022-04-26,38117.4609375,2808.29833984375,395.9864807128906
2022-04-27,39241.12109375,2888.9296875,397.09991455078125
2022-04-28,39773.828125,2936.94091796875,407.13043212890625
2022-04-29,38609.82421875,2815.601806640625,392.0846862792969
2022-04-30,37714.875,2730.186767578125,
2022-05-01,38469.09375,2827.756103515625,
2022-05-02,38529.328125,2857.410400390625,394.44482421875
2022-05-03,37750.453125,2783.476318359375,396.2529296875
2022-05-04,39698.37109375,2940.644775390625,408.3199462890625
2022-05-05,36575.140625,2749.213134765625,393.80718994140625
2022-05-06,36040.921875,2694.979736328125,391.45660400390625
2022-05-07,35501.953125,2636.093017578125,
2022-05-08,34059.265625,2517.4599609375,
2022-05-09,30296.953125,2245.430419921875,378.92315673828125
2022-05-10,31022.90625,2343.510986328125,379.7986755371094
2022-05-11,28936.35546875,2072.108642578125,373.7651672363281
2022-05-12,29047.751953125,1961.7015380859375,373.3750305175781
2022-05-13,29283.103515625,2014.418212890625,382.3016052246094
2022-05-14,30101.265625,2056.27392578125,
2022-05-15,31305.11328125,2145.706787109375,
2022-05-16,29862.91796875,2022.7259521484375,380.7503356933594
2022-05-17,30425.857421875,2090.4091796875,388.5825500488281
2022-05-18,28720.271484375,1916.6561279296875,372.9181823730469
2022-05-19,30314.333984375,2018.336181640625,370.6341857910156
2022-05-20,29200.740234375,1961.315673828125,370.79595947265625
2022-05-21,29432.2265625,1974.518310546875,
2022-05-22,30323.72265625,2043.170166015625,
2022-05-23,29098.91015625,1972.181884765625,377.733642578125
2022-05-24,29655.5859375,1978.9827880859375,374.8500671386719
2022-05-25,29562.361328125,1944.827880859375,378.16180419921875
2022-05-26,29267.224609375,1803.913330078125,385.718017578125
2022-05-27,28627.57421875,1724.9228515625,395.1871032714844
2022-05-28,28814.900390625,1757.9417724609375,
2022-05-29,29445.95703125,1812.031005859375,
2022-05-30,31726.390625,1996.4412841796875,
2022-05-31,31792.310546875,1942.3280029296875,392.96966552734375
2022-06-01,29799.080078125,1823.5693359375,389.7911376953125
2022-06-02,30467.48828125,1834.1505126953125,397.214111328125
2022-06-03,29704.390625,1775.07861328125,390.69525146484375
2022-06-04,29832.9140625,1801.6094970703125,
2022-06-05,29906.662109375,1805.2049560546875,
2022-06-06,31370.671875,1859.2896728515625,391.8847961425781
2022-06-07,31155.478515625,1814.04833984375,395.6438293457031
2022-06-08,30214.35546875,1793.572265625,391.34234619140625
2022-06-09,30111.998046875,1789.8260498046875,382.0351867675781
2022-06-10,29083.8046875,1665.042236328125,370.9577941894531
2022-06-11,28360.810546875,1529.6634521484375,
2022-06-12,26762.6484375,1445.216552734375,
2022-06-13,22487.388671875,1204.582763671875,356.8731994628906
2022-06-14,22206.79296875,1211.662841796875,355.79779052734375
2022-06-15,22572.83984375,1233.2064208984375,360.8701171875
2022-06-16,20381.650390625,1067.730712890625,348.9268493652344
2022-06-17,20471.482421875,1086.519287109375,349.67901611328125
2022-06-18,19017.642578125,993.6367797851562,
2022-06-19,20553.271484375,1127.656494140625,
2022-06-20,20599.537109375,1127.6424560546875,
2022-06-21,20710.59765625,1124.8245849609375,358.481689453125
2022-06-22,19987.029296875,1051.421875,357.8318176269531
2022-06-23,21085.876953125,1143.38671875,361.3394470214844
2022-06-24,21231.65625,1226.8447265625,372.8277587890625
2022-06-25,21502.337890625,1243.4468994140625,
2022-06-26,21027.294921875,1199.8316650390625,
2022-06-27,20735.478515625,1193.6806640625,371.4037170410156
2022-06-28,20280.634765625,1144.5792236328125,363.8149108886719
2022-06-29,20104.0234375,1098.94384765625,363.5185546875
2022-06-30,19784.7265625,1067.298828125,360.5652770996094
2022-07-01,19269.3671875,1059.767333984375,364.3787841796875
2022-07-02,19242.255859375,1066.5128173828125,
2022-07-03,19297.076171875,1073.7669677734375,
2022-07-04,20231.26171875,1151.05908203125,
2022-07-05,20190.115234375,1134.541015625,365.06695556640625
2022-07-06,20548.24609375,1186.9739990234375,366.29986572265625
2022-07-07,21637.587890625,1237.5933837890625,371.7860107421875
2022-07-08,21731.1171875,1222.5062255859375,371.4801940917969
2022-07-09,21592.20703125,1216.978271484375,
2022-07-10,20860.44921875,1168.401611328125,
2022-07-11,19970.556640625,1097.236572265625,367.236572265625
2022-07-12,19323.9140625,1038.191650390625,363.9869079589844
2022-07-13,20212.07421875,1113.587158203125,362.0753173828125
2022-07-14,20569.919921875,1191.5262451171875,361.1960754394531
2022-07-15,20836.328125,1233.129150390625,368.09674072265625
2022-07-16,21190.31640625,1352.62646484375,
2022-07-17,20779.34375,1338.6357421875,
2022-07-18,22485.689453125,1578.7178955078125,365.0574035644531
2022-07-19,23389.43359375,1542.9752197265625,374.9208984375
2022-07-20,23231.732421875,1520.20068359375,377.31036376953125
2022-07-21,23164.62890625,1576.74951171875,381.1525573730469
2022-07-22,22714.978515625,1537.4051513671875,377.6162109375
2022-07-23,22465.478515625,1549.2974853515625,
